2025-11-10 02:47:47,601 | INFO | books_crawler | Updated book Starlark with 3 changes
2025-11-10 02:47:47,602 | INFO | books_crawler | Successfully crawled book: Starlark
2025-11-10 02:47:47,616 | INFO | books_crawler | Updated book Lost Among the Living with 3 changes
2025-11-10 02:47:47,623 | INFO | books_crawler | Successfully crawled book: Lost Among the Living
2025-11-10 02:47:47,634 | INFO | books_crawler | Updated book Between Shades of Gray with 3 changes
2025-11-10 02:47:47,636 | INFO | books_crawler | Successfully crawled book: Between Shades of Gray
2025-11-10 02:47:47,638 | INFO | books_crawler | Updated book While You Were Mine with 3 changes
2025-11-10 02:47:47,639 | INFO | books_crawler | Successfully crawled book: While You Were Mine
2025-11-10 02:47:47,658 | INFO | books_crawler | Updated book A Spy's Devotion (The Regency Spies of London #1) with 3 changes
2025-11-10 02:47:47,661 | INFO | books_crawler | Successfully crawled book: A Spy's Devotion (The Regency Spies of London #1)
2025-11-10 02:47:47,763 | INFO | books_crawler | Completed category Historical Fiction: 26 books processed
2025-11-10 02:47:47,766 | INFO | books_crawler | Processing category: Sequential Art
2025-11-10 02:47:58,463 | INFO | books_crawler | Updated book Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2) with 3 changes
2025-11-10 02:47:58,479 | INFO | books_crawler | Updated book Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15) with 3 changes
2025-11-10 02:47:58,490 | INFO | books_crawler | Successfully crawled book: Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)
2025-11-10 02:47:58,493 | INFO | books_crawler | Updated book Saga, Volume 5 (Saga (Collected Editions) #5) with 3 changes
2025-11-10 02:47:58,501 | INFO | books_crawler | Successfully crawled book: Saga, Volume 5 (Saga (Collected Editions) #5)
2025-11-10 02:47:58,503 | INFO | books_crawler | Checkpoint saved at https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
2025-11-10 02:47:58,506 | INFO | books_crawler | Successfully crawled book: Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2)
2025-11-10 02:47:58,513 | INFO | books_crawler | Updated book This One Summer with 3 changes
2025-11-10 02:47:58,520 | INFO | books_crawler | Successfully crawled book: This One Summer
2025-11-10 02:47:58,522 | INFO | books_crawler | Updated book Scott Pilgrim's Precious Little Life (Scott Pilgrim #1) with 3 changes
2025-11-10 02:47:58,525 | INFO | books_crawler | Successfully crawled book: Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)
2025-11-10 02:47:58,527 | INFO | books_crawler | Updated book Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1) with 3 changes
2025-11-10 02:47:58,530 | INFO | books_crawler | Successfully crawled book: Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)
2025-11-10 02:47:58,533 | INFO | books_crawler | Updated book The Nameless City (The Nameless City #1) with 3 changes
2025-11-10 02:47:58,534 | INFO | books_crawler | Successfully crawled book: The Nameless City (The Nameless City #1)
2025-11-10 02:47:58,586 | INFO | books_crawler | Updated book Pop Gun War, Volume 1: Gift with 3 changes
2025-11-10 02:47:58,598 | INFO | books_crawler | Successfully crawled book: Pop Gun War, Volume 1: Gift
2025-11-10 02:47:58,734 | INFO | books_crawler | Updated book Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1) with 3 changes
2025-11-10 02:47:58,872 | INFO | books_crawler | Successfully crawled book: Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)
2025-11-10 02:47:59,835 | INFO | books_crawler | Updated book Patience with 3 changes
2025-11-10 02:47:59,905 | INFO | books_crawler | Successfully crawled book: Patience
2025-11-10 02:48:01,805 | INFO | books_crawler | Updated book orange: The Complete Collection 1 (orange: The Complete Collection #1) with 3 changes
2025-11-10 02:48:01,813 | INFO | books_crawler | Updated book Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4) with 3 changes
2025-11-10 02:48:01,817 | INFO | books_crawler | Successfully crawled book: Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)
2025-11-10 02:48:01,819 | INFO | books_crawler | Updated book Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8) with 3 changes
2025-11-10 02:48:01,828 | INFO | books_crawler | Successfully crawled book: Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)
2025-11-10 02:48:01,836 | INFO | books_crawler | Checkpoint saved at https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
2025-11-10 02:48:01,888 | INFO | books_crawler | Successfully crawled book: orange: The Complete Collection 1 (orange: The Complete Collection #1)
2025-11-10 02:48:01,923 | INFO | books_crawler | Updated book Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12) with 3 changes
2025-11-10 02:48:01,941 | INFO | books_crawler | Successfully crawled book: Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12)
2025-11-10 02:48:01,951 | INFO | books_crawler | Updated book Danganronpa Volume 1 with 3 changes
2025-11-10 02:48:01,954 | INFO | books_crawler | Successfully crawled book: Danganronpa Volume 1
2025-11-10 02:48:01,957 | INFO | books_crawler | Updated book Giant Days, Vol. 2 (Giant Days #5-8) with 3 changes
2025-11-10 02:48:01,969 | INFO | books_crawler | Successfully crawled book: Giant Days, Vol. 2 (Giant Days #5-8)
2025-11-10 02:48:01,972 | INFO | books_crawler | Updated book Codename Baboushka, Volume 1: The Conclave of Death with 3 changes
2025-11-10 02:48:01,976 | INFO | books_crawler | Successfully crawled book: Codename Baboushka, Volume 1: The Conclave of Death
2025-11-10 02:48:01,988 | INFO | books_crawler | Updated book I am a Hero Omnibus Volume 1 with 3 changes
2025-11-10 02:48:01,989 | INFO | books_crawler | Successfully crawled book: I am a Hero Omnibus Volume 1
2025-11-10 02:48:02,002 | INFO | books_crawler | Updated book Camp Midnight with 3 changes
2025-11-10 02:48:02,018 | INFO | books_crawler | Successfully crawled book: Camp Midnight
2025-11-10 02:48:02,024 | INFO | books_crawler | Updated book I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5) with 3 changes
2025-11-10 02:48:02,042 | INFO | books_crawler | Successfully crawled book: I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)
2025-11-10 02:48:05,680 | INFO | books_crawler | Updated book Batman: The Long Halloween (Batman) with 3 changes
2025-11-10 02:48:05,687 | INFO | books_crawler | Updated book We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1) with 3 changes
2025-11-10 02:48:05,689 | INFO | books_crawler | Successfully crawled book: We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)
2025-11-10 02:48:05,703 | INFO | books_crawler | Updated book The Shadow Hero (The Shadow Hero) with 3 changes
2025-11-10 02:48:05,706 | INFO | books_crawler | Successfully crawled book: The Shadow Hero (The Shadow Hero)
2025-11-10 02:48:05,710 | INFO | books_crawler | Updated book Fables, Vol. 1: Legends in Exile (Fables #1) with 3 changes
2025-11-10 02:48:05,714 | INFO | books_crawler | Successfully crawled book: Fables, Vol. 1: Legends in Exile (Fables #1)
2025-11-10 02:48:05,717 | INFO | books_crawler | Updated book Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1) with 3 changes
2025-11-10 02:48:05,718 | INFO | books_crawler | Successfully crawled book: Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)
2025-11-10 02:48:05,720 | INFO | books_crawler | Updated book Through the Woods with 3 changes
2025-11-10 02:48:05,725 | INFO | books_crawler | Successfully crawled book: Through the Woods
2025-11-10 02:48:05,732 | INFO | books_crawler | Checkpoint saved at https://books.toscrape.com/catalogue/batman-the-long-halloween-batman_793/index.html
2025-11-10 02:48:05,739 | INFO | books_crawler | Successfully crawled book: Batman: The Long Halloween (Batman)
2025-11-10 02:48:05,868 | INFO | books_crawler | Updated book Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions)) with 3 changes
2025-11-10 02:48:05,872 | INFO | books_crawler | Successfully crawled book: Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))
2025-11-10 02:48:05,953 | INFO | books_crawler | Updated book So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6) with 3 changes
2025-11-10 02:48:05,967 | INFO | books_crawler | Successfully crawled book: So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)
2025-11-10 02:48:06,356 | INFO | books_crawler | Updated book Batman: The Dark Knight Returns (Batman) with 3 changes
2025-11-10 02:48:06,358 | INFO | books_crawler | Successfully crawled book: Batman: The Dark Knight Returns (Batman)
2025-11-10 02:48:06,434 | INFO | books_crawler | Updated book Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1) with 3 changes
2025-11-10 02:48:06,435 | INFO | books_crawler | Successfully crawled book: Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1)
2025-11-10 02:48:07,362 | INFO | books_crawler | Updated book Robin War with 3 changes
2025-11-10 02:48:07,367 | INFO | books_crawler | Checkpoint saved at https://books.toscrape.com/catalogue/robin-war_730/index.html
2025-11-10 02:48:07,369 | INFO | books_crawler | Successfully crawled book: Robin War
2025-11-10 02:48:07,858 | INFO | books_crawler | Updated book El Deafo with 3 changes
2025-11-10 02:48:07,870 | INFO | books_crawler | Successfully crawled book: El Deafo
2025-11-10 02:48:07,880 | INFO | books_crawler | Updated book Lowriders to the Center of the Earth (Lowriders in Space #2) with 3 changes
2025-11-10 02:48:07,885 | INFO | books_crawler | Successfully crawled book: Lowriders to the Center of the Earth (Lowriders in Space #2)
2025-11-10 02:48:07,888 | INFO | books_crawler | Updated book Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14) with 3 changes
2025-11-10 02:48:07,890 | INFO | books_crawler | Successfully crawled book: Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)
2025-11-10 02:48:07,913 | INFO | books_crawler | Updated book Batman: Europa with 3 changes
2025-11-10 02:48:07,922 | INFO | books_crawler | Successfully crawled book: Batman: Europa
2025-11-10 02:48:07,945 | INFO | books_crawler | Updated book Fruits Basket, Vol. 9 (Fruits Basket #9) with 3 changes
2025-11-10 02:48:07,951 | INFO | books_crawler | Successfully crawled book: Fruits Basket, Vol. 9 (Fruits Basket #9)
2025-11-10 02:48:07,954 | INFO | books_crawler | Updated book Adulthood Is a Myth: A "Sarah's Scribbles" Collection with 3 changes
2025-11-10 02:48:07,972 | INFO | books_crawler | Successfully crawled book: Adulthood Is a Myth: A "Sarah's Scribbles" Collection
2025-11-10 02:48:07,977 | INFO | books_crawler | Updated book Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1) with 3 changes
2025-11-10 02:48:07,984 | INFO | books_crawler | Successfully crawled book: Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)
2025-11-10 02:48:07,989 | INFO | books_crawler | Updated book Roller Girl with 3 changes
2025-11-10 02:48:08,002 | INFO | books_crawler | Successfully crawled book: Roller Girl
2025-11-10 02:48:08,005 | INFO | books_crawler | Updated book Art Ops Vol. 1 with 3 changes
2025-11-10 02:48:08,007 | INFO | books_crawler | Successfully crawled book: Art Ops Vol. 1
2025-11-10 02:48:11,380 | INFO | books_crawler | Updated book Fruits Basket, Vol. 6 (Fruits Basket #6) with 3 changes
2025-11-10 02:48:11,389 | INFO | books_crawler | Updated book Fruits Basket, Vol. 7 (Fruits Basket #7) with 3 changes
2025-11-10 02:48:11,400 | INFO | books_crawler | Successfully crawled book: Fruits Basket, Vol. 7 (Fruits Basket #7)
2025-11-10 02:48:11,404 | INFO | books_crawler | Updated book Fruits Basket, Vol. 5 (Fruits Basket #5) with 3 changes
2025-11-10 02:48:11,406 | INFO | books_crawler | Successfully crawled book: Fruits Basket, Vol. 5 (Fruits Basket #5)
2025-11-10 02:48:11,417 | INFO | books_crawler | Updated book The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3) with 3 changes
2025-11-10 02:48:11,424 | INFO | books_crawler | Successfully crawled book: The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)
2025-11-10 02:48:11,438 | INFO | books_crawler | Checkpoint saved at https://books.toscrape.com/catalogue/fruits-basket-vol-6-fruits-basket-6_427/index.html
2025-11-10 02:48:11,444 | INFO | books_crawler | Successfully crawled book: Fruits Basket, Vol. 6 (Fruits Basket #6)
2025-11-10 02:48:11,649 | INFO | books_crawler | Updated book Death Note, Vol. 6: Give-and-Take (Death Note #6) with 3 changes
2025-11-10 02:48:11,651 | INFO | books_crawler | Successfully crawled book: Death Note, Vol. 6: Give-and-Take (Death Note #6)
